Title,Genre,Tags,Languages,Series or Movie,Hidden Gem Score,Country Availability,Runtime,Director,Writer,Actors,View Rating,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Awards Received,Awards Nominated For,Boxoffice,Release Date,Netflix Release Date,IMDb Votes,gap_between_netflix_release_and_release,Country Count,Language Count,is_hidden_gem,year_added
Kim Ji-Young: Born 1982,,"Social Issue Dramas,Korean Movies,Dramas,Movies Based on Books",Korean,Movie,7.5,,1-2 hour,Kim Do-Young,"Kim Do-Young, Jo Nam-Joo, Young Ah Yoo","Bong-ryeon Lee, Min-Jung Gong, Ae-sim Kang, Sung-Cheol Kim",,7.4,,,11.0,15.0,,2019-10-23,2020-08-19,2318.0,301.0,1,1,False,2020
Hitman: Agent Jun,,"Action & Adventure,Korean Movies,Hip-Hop,Comedies,Action Comedies,Music & Musicals",Korean,Movie,7.6,,1-2 hour,Won-sub Choi,"Jung-Ryeol Sin, Won-sub Choi","Lee Ji-Won, Sang-Woo Kwon, Jun-ho Jeong, Ji-won Lee",,6.3,,,,,,2020-01-22,2020-08-19,1112.0,210.0,1,1,False,2020
The Divine Fury,,"Action & Adventure,Korean Movies,Horror Movies","Korean, Latin",Movie,6.2,,> 2 hrs,Joo-hwan Kim,Joo-hwan Kim,"Park Seo-Joon, Eun-hyung Jo, Woo Do-Hwan, Sung-Ki Ahn",Not Rated,6.2,44.0,33.0,1.0,3.0,,2019-07-31,2020-08-19,2230.0,385.0,1,2,False,2020
Greta,,"Psychological Thrillers,Thriller Movies,US Movies","English, Hungarian, French, Korean",Movie,2.9,,1-2 hour,Neil Jordan,"Ray Wright, Neil Jordan","Jane Perry, Isabelle Huppert, Maika Monroe, Chloë Grace Moretz",R,6.0,,54.0,1.0,4.0,,2019-03-01,2020-08-19,25644.0,537.0,7,4,False,2020
"You, Me and Him",,"Romantic Dramas,Romantic Comedies,Dramas,LGBTQ Movies,Comedies,Romantic Movies,British Movies",Portuguese,Movie,7.8,,1-2 hour,Daniel Ribeiro,Daniel Ribeiro,"Diego Torraca, Eduardo Melo, Daniel Tavares, Eleio Calascibetta",Not Rated,7.1,,,8.0,,,2008-06-05,2020-08-19,1405.0,4458.0,1,1,False,2020
Little Singham: Kaal Ka Badla,,"Children & Family Movies,Comedies,Indian Movies,Action Comedies,Family Comedies,Hindi-Language Movies,Family Adventures,Animation",Hindi,Movie,8.1,,1-2 hour,Prakash Satam,"Yash Thakur, Bahaish Kapoor","Neshma Chemburkar, Ganessh Divekar, Saumya Daan, Jigna Bharadhwaj",,6.2,,,,,,2020-05-23,2020-08-19,5.0,88.0,35,1,True,2020
High Score,,"Science & Nature Docs,Docuseries,Science & Nature TV,US TV Shows",English,Series,5.6,,< 30 minutes,,,Charles Martinet,TV-14,7.4,,,,,,2020-08-19,2020-08-19,6117.0,0.0,36,1,False,2020
DeMarcus Family Rules,,"Reality TV,US TV Shows,International Reality, Talk & Variety Shows,Variety Entertainment,Reality, Variety & Talk Shows",English,Series,8.1,,< 30 minutes,,,"Chris Chambers, Jane Alderson, Allison DeMarcus, Dylan DeMarcus",TV-14,6.3,,,,,,2020-08-19,2020-08-19,68.0,0.0,36,1,False,2020
Meet the In-Laws,,"Romantic Dramas,African Movies,Romantic Comedies,Dramas,Comedies,Romantic Movies,Nollywood Movies,International Comedies,International Dramas",Mandarin,Movie,7.8,,1-2 hour,Hai-shu Li,"Hai-shu Li, Yanwei Huang","Jie Liu, Shiu Hung Hui, Peng Lin, Shao-Tung Chou",,5.7,,,,,,2012-08-03,2020-08-18,127.0,2937.0,32,1,False,2020
Schlag den Star,,"Reality TV,Competition Reality TV,German TV Shows",German,Series,7.3,,< 30 minutes,,,"Steven Gätjen, Elton, Frank Buschmann, Stefan Raab",,4.8,,,1.0,2.0,,2009-03-13,2020-08-16,173.0,4174.0,2,1,False,2020
Star Boot Sale,,"Reality TV,Competition Reality TV,British Programmes",English,Series,,,< 30 minutes,,,Shane Richie,,,,,,,,2018-03-19,2020-08-16,,881.0,1,1,False,2020
An Easy Girl,,"Social Issue Dramas,Dramas,Comedies,French Films,International Comedies,International Dramas,Critically Acclaimed Films,Critically Acclaimed Dramas,Critically Acclaimed Comedies","French, Italian, English",Movie,6.4,,1-2 hour,Rebecca Zlotowski,"Teddy Lussi-Modeste, Rebecca Zlotowski","Mina Farid, Benoît Magimel, Zahia Dehar, Nuno Lopes",TV-MA,5.6,,78.0,,3.0,,2020-08-13,2020-08-16,3948.0,3.0,24,3,False,2020
Octonauts & the Caves of Sac Actun,,"Children & Family Movies,Animal Tales,Movies Based on Books,Education for Kids,British Movies,Family Adventures,Animation",English,Movie,8.2,,1-2 hour,Blair Simmons,"Gabe Pulliam, Vicki Wong, Michael Murphy","Michael Murphy, Paul Panting, Simon Greenall, Teresa Gallagher",,6.5,,,,,,2020-08-14,2020-08-15,95.0,1.0,36,1,False,2020
Heaven Will Wait,,"Dramas,French Dramas,French Movies","French, Arabic",Movie,8.1,,1-2 hour,Marie-Castille Mention-Schaar,"Marie-Castille Mention-Schaar, Emilie Frèche","Clotilde Courau, Sandrine Bonnaire, Naomi Amarger, Noémie Merlant",,7.0,,,,7.0,,2016-10-05,2020-08-15,832.0,1410.0,1,2,False,2020
Gunjan Saxena: The Kargil Girl,,"Military Dramas,Action & Adventure,Military Action & Adventure,Social Issue Dramas,Bollywood Films,Dramas,Indian Films,Hindi-language Films,International Action & Adventure,International Dramas",Hindi,Movie,2.7,,1-2 hour,Sharan Sharma,"Nikhil Mehrotra, Sharan Sharma, Hussain Dalal","Pankaj Tripathi, Angad Bedi, Janhvi Kapoor, Manav Vij",TV-14,5.3,,,1.0,,,2020-08-12,2020-08-15,24311.0,3.0,35,1,False,2020
Nigerian Prince,,"Dramas,Independent Films,US Movies,Critically-acclaimed Independent Movies,Critically Acclaimed Films,Critically Acclaimed Dramas","English, Ibo",Movie,8.5,,1-2 hour,Faraday Okoro,"Andrew Long, Faraday Okoro","Antonio J Bell, Bimbo Manuel, Tina Mba, Chinaza Uche",TV-MA,5.6,100.0,61.0,,,,2018-04-24,2020-08-15,296.0,844.0,33,2,False,2020
Bread Barbershop,,"Comedy Programmes,TV Cartoons,Kids&#39; TV,Korean Programmes,Animation",English,Series,9.2,,< 30 minutes,,,"Elinor Vanderburg, Courtney Shaw, Barrett Leddy, Marc Thompson",TV-Y,8.5,,,,,,2020-08-15,2020-08-15,61.0,0.0,36,1,False,2020
Ackley Bridge,,"Comedy Programmes,Drama Programmes,British Programmes,Teen Programmes,Social Issue TV Dramas",English,Series,8.0,,< 30 minutes,,"Malcolm Campbell, Ayub Khan-Din, Kevin Erlis","Lorraine Cheshire, Jo Joyner, Amy-Leigh Hickman, Sunetra Sarker",Not Rated,7.2,,,5.0,7.0,,2017-06-07,2020-08-15,1147.0,1165.0,1,1,False,2020
Teenage Bounty Hunters,,"Drama Programmes,Crime TV Dramas,Teen Programmes,US TV Programmes,Comedy Programmes,Teen TV Dramas,LGBTQ TV Shows",English,Series,4.8,,< 30 minutes,,Kathleen Jordan,"Maddie Phillips, Kadeem Hardison, Anjelica Bette Fellini, Virginia Williams",TV-MA,7.7,,,,,,2020-08-14,2020-08-15,8049.0,1.0,36,1,False,2020
The Great Heist,,"Latin American TV Programmes,TV Thrillers",Spanish,Series,7.7,,< 30 minutes,,"Pablo Gonzalez, C.S. Prince","Waldo Urrego, Christian Tappan, Andrés Parra, Marcela Benjumea",TV-MA,7.3,,,,,,2020-08-14,2020-08-15,1910.0,1.0,36,1,False,2020
Baba Parasi,,"Comedies,Turkish Movies","Turkish, English",Movie,5.9,,1-2 hour,Selçuk Aydemir,Selçuk Aydemir,"Seher Devrim Yakut, Rasim Öztekin, Murat Cemcir, Ahmet Kural",,4.5,,,,4.0,,2020-01-01,2020-08-14,2610.0,226.0,10,2,False,2020
